Unnamed: 0,Overall,2019,2018,2017,2016,2015
W,0.879545455,0.898876404,0.886363636,0.9204545454545454,0.852272727,0.909090909
BARTHAG,0.886363636,0.842696629,0.818181818,0.8977272727272727,0.863636364,0.875
ADJOE,0.859090909,0.898876404,0.886363636,0.9090909090909092,0.818181818,0.943181818
ADJDE,0.863636364,0.898876404,0.875,0.8636363636363636,0.875,0.863636364
EFG_O,0.822727273,0.786516854,0.818181818,0.7954545454545454,0.818181818,0.818181818
EFG_D,0.825,0.853932584,0.818181818,0.7840909090909091,0.829545455,0.772727273
TOR,0.809090909,0.786516854,0.818181818,0.7840909090909091,0.795454545,0.795454545
TORD,0.815909091,0.786516854,0.784090909,0.7840909090909091,0.784090909,0.784090909
ORB,0.822727273,0.786516854,0.784090909,0.7840909090909091,0.784090909,0.784090909
DRB,0.815909091,0.786516854,0.784090909,0.7840909090909091,0.784090909,0.784090909
FTR,0.815909091,0.786516854,0.784090909,0.7840909090909091,0.784090909,0.784090909
FTRD,0.815909091,0.786516854,0.784090909,0.7840909090909091,0.784090909,0.784090909
2P_O,0.813636364,0.797752809,0.772727273,0.7954545454545454,0.784090909,0.806818182
2P_D,0.827272727,0.876404494,0.840909091,0.7727272727272727,0.795454545,0.829545455
3P_O,0.811363636,0.764044944,0.75,0.8068181818181818,0.795454545,0.772727273
3P_D,0.809090909,0.797752809,0.795454545,0.7954545454545454,0.784090909,0.761363636
ADJ_T,0.815909091,0.786516854,0.784090909,0.7840909090909091,0.784090909,0.784090909
WAB,0.884090909,0.921348315,0.784090909,0.9545454545454546,0.909090909,0.954545455
